source_table,genus,Topt,stem_gc_fraction
gc23S,AEROMONAS,25.75,0.665
gc23S,BACILLUS,60.12,0.67
gc23S,BORDETELLA,36.0,0.656
gc23S,BRADYRHIZOBIUM,27.5,0.66
gc23S,CAMPYLOBACTER,34.67,0.594
gc23S,CLOSTRIDIUM,37.78,0.622
gc23S,DESULFUROCOCCUS,85.0,0.846
gc23S,ESCHERICHIA,37.0,0.66
gc23S,FLAVOBACTERIUM,22.5,0.591
gc23S,FLEXIBACTER,28.12,0.618
gc23S,HALOBACTERIUM,46.67,0.688
gc23S,HALOCOCCUS,33.5,0.712
gc23S,HALOFERAX,39.33,0.671
gc23S,LEUCONOSTOC,25.0,0.607
gc23S,LISTERIA,33.5,0.634
gc23S,METHANOBACTERIUM,49.69,0.706
gc23S,METHANOCOCCUS,48.0,0.667
gc23S,METHANOSPIRILLUM,33.5,0.629
gc23S,MICROCOCCUS,30.31,0.692
gc23S,MYCOBACTERIUM,36.2,0.699
gc23S,MYCOPLASMA,37.25,0.54
gc23S,NATRONOBACTERIUM,40.67,0.683
gc23S,NEISSERIA,36.0,0.638
gc23S,PECTINATUS,32.0,0.649
gc23S,PEPTOCOCCUS,37.0,0.634
gc23S,PSEUDOMONAS,32.66,0.657
gc23S,PYROBACULUM,97.5,0.847
gc23S,RHODOBACTER,31.4,0.684
gc23S,RHODOPSEUDOMONAS,29.64,0.663
gc23S,STAPHYLOCOCCUS,33.63,0.618
gc23S,STREPTOCOCCUS,36.83,0.607
gc23S,SULFOLOBUS,79.0,0.761
gc23S,THERMOCOCCUS,90.0,0.815
gc23S,THERMOFILUM,87.5,0.831
gc23S,THERMOPLASMA,57.0,0.668
gc23S,THERMOPROTEUS,90.0,0.846
gc23S,THERMUS,72.5,0.799
gc23S,THIOBACILLUS,32.64,0.664
